"Density(kg/m3)","Temperature(K)"
11.34169831,491.888064
11.42206683,492.26116
11.50290614,492.634256
11.58421864,493.007352
11.66600673,493.380448
11.74827285,493.753544
11.83101944,494.12664
11.91424895,494.499736
11.99796385,494.872832
12.08216663,495.245928
12.16685978,495.619024
12.25204582,495.99212
12.33772728,496.365216
12.4239067,496.738312
12.51058663,497.111408
12.59776967,497.484504
12.68545839,497.8576
12.7736554,498.230696
12.86236333,498.603792
12.9515848,498.976888
13.04132249,499.349984
13.13157905,499.72308
13.22235717,500.096176
13.31365957,500.469272
13.40548895,500.842368
13.49784805,501.215464
13.59073964,501.58856
13.68416648,501.961656
13.77813136,502.334752
13.87263709,502.707848
13.9676865,503.080944
14.06328242,503.45404
14.15942772,503.827136
14.25612527,504.200232
14.35337799,504.573328
14.45118877,504.946424
14.54956056,505.31952
14.64849632,505.692616
14.74799901,506.065712
14.84807163,506.438808
14.94871719,506.811904
15.04993873,507.185
15.15173929,507.558096
15.25412196,507.931192
15.35708982,508.304288
15.46064599,508.677384
15.56479361,509.05048
15.66953583,509.423576
15.77487583,509.796672
15.8808168,510.169768
15.98736197,510.542864
16.09451459,510.91596
16.20227791,511.289056
16.31065522,511.662152
16.41964984,512.035248
16.5292651,512.408344
16.63950435,512.78144
16.75037097,513.154536
16.86186837,513.527632
16.97399997,513.900728
17.08676923,514.273824
17.20017961,514.64692
17.31423463,515.020016
17.4289378,515.393112
17.54429268,515.766208
17.66030284,516.139304
17.77697188,516.5124
17.89430344,516.885496
18.01230116,517.258592
18.13096872,517.631688
18.25030983,518.004784
18.37032824,518.37788
18.49102769,518.750976
18.61241197,519.124072
18.73448492,519.497168
18.85725036,519.870264
18.98071218,520.24336
19.10487428,520.616456
19.22974059,520.989552
19.35531508,521.362648
19.48160174,521.735744
19.60860458,522.10884
19.73632767,522.481936
19.86477509,522.855032
19.99395096,523.228128
20.12385941,523.601224
20.25450464,523.97432
20.38589085,524.347416
20.51802229,524.720512
20.65090324,525.093608
20.78453801,525.466704
20.91893094,525.8398
21.05408641,526.212896
21.19000885,526.585992
21.32670269,526.959088
21.46417243,527.332184
21.60242259,527.70528
21.74145772,528.078376
21.88128241,528.451472
22.02190131,528.824568
22.16331908,529.197664
22.30554043,529.57076
22.4485701,529.943856
22.59241289,530.316952
22.73707361,530.690048
22.88255713,531.063144
23.02886836,531.43624
23.17601224,531.809336
23.32399376,532.182432
23.47281796,532.555528
23.6224899,532.928624
23.77301471,533.30172
23.92439753,533.674816
24.07664358,534.047912
24.22975811,534.421008
24.3837464,534.794104
24.53861379,535.1672
24.69436568,535.540296
24.85100749,535.913392
25.00854471,536.286488
25.16698286,536.659584
25.32632753,537.03268
25.48658433,537.405776
25.64775895,537.778872
25.8098571,538.151968
25.97288458,538.525064
26.13684721,538.89816
26.30175088,539.271256
26.46760152,539.644352
26.63440511,540.017448
26.80216772,540.390544
26.97089543,540.76364
27.14059442,541.136736
27.31127087,541.509832
27.48293109,541.882928
27.65558138,542.256024
27.82922814,542.62912
28.00387783,543.002216
28.17953694,543.375312
28.35621206,543.748408
28.53390981,544.121504
28.7126369,544.4946
28.89240008,544.867696
29.07320619,545.240792
29.25506212,545.613888
29.43797482,545.986984
29.62195132,546.36008
29.80699873,546.733176
29.9931242,547.106272
30.18033497,547.479368
30.36863835,547.852464
30.55804173,548.22556
30.74855255,548.598656
30.94017835,548.971752
31.13292673,549.344848
31.32680537,549.717944
31.52182203,550.09104
31.71798456,550.464136
31.91530086,550.837232
32.11377895,551.210328
32.3134269,551.583424
32.51425289,551.95652
32.71626515,552.329616
32.91947204,552.702712
33.12388197,553.075808
33.32950347,553.448904
33.53634513,553.822
33.74441565,554.195096
33.95372383,554.568192
34.16427853,554.941288
34.37608875,555.314384
34.58916355,555.68748
34.80351212,556.060576
35.01914372,556.433672
35.23606773,556.806768
35.45429363,557.179864
35.673831,557.55296
35.89468953,557.926056
36.11687902,558.299152
36.34040939,558.672248
36.56529063,559.045344
36.7915329,559.41844
37.01914643,559.791536
37.24814159,560.164632
37.47852886,560.537728
37.71031884,560.910824
37.94352226,561.28392
38.17814997,561.657016
38.41421293,562.030112
38.65172227,562.403208
38.89068921,562.776304
39.13112511,563.1494
39.37304148,563.522496
39.61644997,563.895592
39.86136234,564.268688
40.10779052,564.641784
40.35574657,565.01488
40.6052427,565.387976
40.85629127,565.761072
41.10890479,566.134168
41.36309593,566.507264
41.6188775,566.88036
41.87626249,567.253456
42.13526405,567.626552
42.39589546,567.999648
42.65817022,568.372744
42.92210197,568.74584
43.18770452,569.118936
43.45499187,569.492032
43.7239782,569.865128
43.99467786,570.238224
44.26710541,570.61132
44.54127556,570.984416
44.81720325,571.357512
45.09490361,571.730608
45.37439195,572.103704
45.6556838,572.4768
45.9387949,572.849896
46.22374119,573.222992
46.51053883,573.596088
